file,lineno,_lineno,kind,message
beets\logging.py,102, error,sub/supertype," Signature of ""level"" incompatible with supertype ""Logger"""
beets\util\confit.py,1104,12,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\util\confit.py,1290,12,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\util\confit.py,1293,12,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\util\confit.py,1296,12,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
beets\dbcore\queryparse.py,176,8,assignment," Incompatible types in assignment (expression has type ""MultipleSort"", variable has type ""NullSort"")"
beets\dbcore\db.py,356,8,assignment," Incompatible types in assignment (expression has type ""unicode"", variable has type ""List[Any]"")"
beets\library.py,489,4,assignment," Incompatible types in assignment (expression has type ""unicode"", base class ""LibModel"" defined the type as ""None"")"
beets\library.py,919,4,assignment," Incompatible types in assignment (expression has type ""unicode"", base class ""LibModel"" defined the type as ""None"")"
beets\autotag\match.py,491,4,assignment," Incompatible types in assignment (expression has type ""List[TrackMatch]"", variable has type ""Dict[Any, TrackMatch]"")"
beets\util\pipeline.py,397,16,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""MiddlePipelineThread""; expected ""FirstPipelineThread"""
beets\util\pipeline.py,403,12,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""LastPipelineThread""; expected ""FirstPipelineThread"""
beets\ui\__init__.py,517,14,argument," Argument 2 to ""SequenceMatcher"" has incompatible type ""basestring""; expected ""Sequence[Any]"""
beets\ui\__init__.py,517,14,argument," Argument 3 to ""SequenceMatcher"" has incompatible type ""basestring""; expected ""Sequence[Any]"""
beets\ui\commands.py,1192,18,argument," Argument 2 to ""format"" has incompatible type ""unicode""; expected ""str"""
beets\ui\commands.py,1622,35,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""unicode"")"
beets\util\bluelet.py,191,8,assignment," Incompatible types in assignment (expression has type ""Tuple[]"", variable has type ""List[Any]"")"
beets\util\bluelet.py,366,20,assignment," Incompatible types in assignment (expression has type ""ReturnEvent"", target has type ""ValueEvent"")"
beets\util\bluelet.py,372,12,assignment," Incompatible types in assignment (expression has type ""ExceptionEvent"", variable has type ""ValueEvent"")"
beetsplug\badfiles.py,51,8,assignment," Incompatible types in assignment (expression has type ""unicode"", variable has type ""str"")"
beetsplug\bucket.py,128,4,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""int"")"
beetsplug\bucket.py,140,8,assignment," Incompatible types in assignment (expression has type ""Tuple[str, str]"", variable has type ""str"")"
beetsplug\discogs.py,348,21,argument," Argument 2 to ""strptime"" has incompatible type ""unicode""; expected ""str"""
beetsplug\duplicates.py,254,12,assignment," Incompatible types in assignment (expression has type ""Type[object]"", variable has type ""unicode"")"
beetsplug\duplicates.py,263,22,return," Incompatible return value type (got ""Union[Tuple[Any, ...], int]"", expected ""Tuple[Any, ...]"")"
beetsplug\duplicates.py,265,22,return," Incompatible return value type (got ""int"", expected ""Tuple[Any, ...]"")"
beetsplug\echonest.py,328,24,argument," Argument 2 to ""substitute"" of ""Template"" has incompatible type ""unicode""; expected ""str"""
beetsplug\inline.py,48,11,argument," Argument 3 to ""compile"" has incompatible type ""unicode""; expected ""str"""
beetsplug\inline.py,87,19,argument," Argument 3 to ""compile"" has incompatible type ""unicode""; expected ""str"""
beetsplug\lyrics.py,189,16,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
beetsplug\lyrics.py,514,15,argument," Argument 1 to ""urlopen"" has incompatible type ""unicode""; expected ""str"""
beetsplug\lyrics.py,623,8,assignment," Incompatible types in assignment (expression has type ""unicode"", variable has type ""List[Any]"")"
beetsplug\replaygain.py,456,12,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
beetsplug\thumbnails.py,106,12,assignment," Incompatible types in assignment (expression has type ""PathlibURI"", variable has type ""GioURI"")"
beetsplug\types.py,44,16,assignment," Incompatible types in assignment (expression has type ""Float"", target has type ""Integer"")"
beetsplug\types.py,46,16,assignment," Incompatible types in assignment (expression has type ""Boolean"", target has type ""Integer"")"
beetsplug\types.py,48,16,assignment," Incompatible types in assignment (expression has type ""DateType"", target has type ""Integer"")"
beetsplug\bpd\__init__.py,98,15,argument," Argument 1 to ""Template"" has incompatible type ""unicode""; expected ""str"""
beetsplug\lastgenre\__init__.py,132,20,assignment," Incompatible types in assignment (expression has type ""unicode"", variable has type ""str"")"
test\_common.py,34,0,argument," Argument 2 to ""insert"" of ""list"" has incompatible type ""unicode""; expected ""str"""
test\_common.py,163, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\helper.py,193, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\helper.py,295,8,argument," Argument 1 to ""update"" of ""dict"" has incompatible type ""Dict[str, Any]""; expected ""Mapping[unicode, Any]"""
test\testall.py,28,0,argument," Argument 1 to ""append"" of ""list"" has incompatible type ""unicode""; expected ""str"""
test\testall.py,34, error,argument," Argument 1 to ""__delitem__"" of ""dict"" has incompatible type ""unicode""; expected ""str"""
test\test_config_command.py,25, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_config_command.py,30,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_config_command.py,31,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_config_command.py,32,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_config_command.py,36,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_config_command.py,98,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_config_command.py,124,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_config_command.py,128,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_dbcore.py,37,4,assignment," Incompatible types in assignment (expression has type ""unicode"", base class ""Model"" defined the type as ""None"")"
test\test_dbcore.py,38,4,assignment," Incompatible types in assignment (expression has type ""unicode"", base class ""Model"" defined the type as ""None"")"
test\test_dbcore.py,59,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel1]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,72,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel2]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,86,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel3]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,101,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel4]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,115,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel2], Type[AnotherTestModel]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_echonest.py,170,8,argument," Argument 1 to ""update"" of ""dict"" has incompatible type ""Dict[str, Any]""; expected ""Mapping[unicode, Any]"""
test\test_edit.py,50,17,argument," Argument 2 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,50,17,argument," Argument 3 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,57,13,argument," Argument 2 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,57,13,argument," Argument 3 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,61,13,argument," Argument 2 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,61,13,argument," Argument 3 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_embedart.py,117,8,argument," Argument 2 to ""write"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,197,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""unicode"")"
test\test_importer.py,350,14,argument," Argument 2 to ""ZipFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,351,4,argument," Argument 1 to ""write"" of ""ZipFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,406,18,argument," Argument 2 to ""TarFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,407,8,argument," Argument 1 to ""add"" of ""TarFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,1122,8,assignment," Incompatible types in assignment (expression has type ""MediaFile"", variable has type ""unicode"")"
test\test_importer.py,1343,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_filefilter.py,72,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
test\test_filefilter.py,82,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
test\test_filefilter.py,92,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
test\test_library.py,400,36,return," Incompatible return value type (got ""unicode"", expected ""str"")"
test\test_lyrics.py,182,4,assignment," Incompatible types in assignment (expression has type ""List[unicode]"", variable has type ""unicode"")"
test\test_mediafile.py,695,16,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""float"")"
test\test_mediafile.py,704,8,assignment," Incompatible types in assignment (expression has type ""date"", target has type ""float"")"
test\test_mediafile.py,710,8,assignment," Incompatible types in assignment (expression has type ""date"", target has type ""float"")"
test\test_plugins.py,205,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""unicode"")"
test\test_smartplaylist.py,126,8,assignment," Incompatible types in assignment (expression has type ""Set[Tuple[unicode, Tuple[unicode, None], Tuple[None, None]]]"", variable has type ""None"")"
test\test_smartplaylist.py,127,8,assignment," Incompatible types in assignment (expression has type ""Set[<nothing>]"", variable has type ""None"")"
test\test_smartplaylist.py,155,8,assignment," Incompatible types in assignment (expression has type ""List[Tuple[unicode, Tuple[Any, None], Tuple[Any, None]]]"", variable has type ""None"")"
test\test_template.py,218,8,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
test\test_template.py,221,8,argument," Argument 1 to ""simplefilter"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,545, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,557,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_ui.py,559,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_ui.py,569, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,573, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,603, error,argument," Argument 1 to ""__delitem__"" of ""MutableMapping"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,714,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,721,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,725,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,734,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,738,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,778,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,779,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,792,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,793,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,812,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,813,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,823,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,831,8,assignment," Incompatible types in assignment (expression has type ""unicode"", target has type ""str"")"
test\test_ui.py,838,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,857,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,858,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_ui.py,1079,39,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""unicode"")"
test\test_util.py,146,36,return," Incompatible return value type (got ""unicode"", expected ""str"")"
